soil_type,rainfall,temperature,humidity,crop
Black,3296.0,37.0,50.0,Coconut
Black,3296.0,37.0,54.0,Coconut
Black,3550.0,38.0,53.0,Coconut
Black,3550.0,38.0,52.0,Coconut
Black,3550.0,38.0,51.0,Coconut
Black,3654.0,39.0,57.0,Coconut
Black,3654.0,39.0,57.0,Coconut
Black,3654.0,39.0,60.0,Coconut
Black,233.0,40.0,57.0,Coconut
Black,233.0,40.0,57.0,Coconut
Black,233.0,40.0,54.0,Coconut
Black,234.0,41.0,54.5,Coconut
Black,234.0,41.0,56.6,Coconut
Black,234.0,41.0,55.5,Coconut
Black,3105.0,42.0,58.5,Coconut
Black,3105.0,42.0,59.5,Coconut
Black,3105.0,42.0,55.0,Coconut
Black,236.0,43.0,53.0,Coconut
Black,2903.1,27.0,53.5,Coconut
Black,2903.1,27.0,52.5,Coconut
Black,2903.1,27.0,56.0,Coconut
Black,2996.6,27.0,57.0,Coconut
Black,2996.6,27.0,57.5,Coconut
Black,2996.6,27.0,57.0,Coconut
Black,3522.8,27.2,55.0,Coconut
Black,3522.8,27.2,56.0,Coconut
Black,3522.8,27.2,54.0,Coconut
Black,3729.8,27.0,58.0,Coconut
Black,3729.8,27.0,58.0,Coconut
Black,3729.8,27.0,59.0,Coconut
Black,2746.2,27.0,50.0,Coconut
Loam,2746.2,27.0,54.0,Coconut
Loam,2746.2,27.0,53.0,Coconut
Loam,3360.0,27.2,52.0,Coconut
Loam,3360.0,27.2,51.0,Coconut
Loam,3360.0,27.2,57.0,Coconut
Loam,3605.4,27.1,57.0,Coconut
Loam,3605.4,27.1,60.0,Coconut
Loam,3605.4,27.1,57.0,Coconut
Loam,3512.4,26.8,57.0,Coconut
Loam,3512.4,26.8,54.0,Coconut
Loam,3512.4,26.8,54.5,Coconut
Loam,3296.0,37.0,56.6,Coconut
Loam,3296.0,37.0,55.5,Coconut
Loam,3296.0,37.0,58.5,Coconut
Loam,3550.0,38.0,59.5,Coconut
Loam,3550.0,38.0,55.0,Coconut
Loam,3550.0,38.0,53.0,Coconut
Loam,3654.0,39.0,53.5,Coconut
Loam,3654.0,39.0,52.5,Coconut
Loam,3654.0,39.0,56.0,Coconut
Loam,233.0,40.0,57.0,Coconut
Loam,233.0,40.0,57.5,Coconut
Loam,233.0,40.0,57.0,Coconut
Loam,234.0,41.0,55.0,Coconut
Loam,234.0,41.0,56.0,Coconut
Red,234.0,41.0,54.0,Coconut
Red,3105.0,42.0,58.0,Coconut
Red,3105.0,42.0,58.0,Coconut
Red,3105.0,42.0,59.0,Coconut
Red,236.0,43.0,50.0,Coconut
Red,236.0,43.0,54.0,Coconut
Red,321.0,128.0,53.0,Cocoa
Red,3654.0,129.0,52.0,Cocoa
Red,323.0,130.0,51.0,Cocoa
Red,324.0,131.0,57.0,Cocoa
Red,3105.0,132.0,57.0,Cocoa
Red,326.0,133.0,60.0,Cocoa
Red,327.0,134.0,57.0,Coffee
Red,328.0,135.0,57.0,Coffee
Red,2903.1,136.0,54.0,Coffee
Red,2903.1,137.0,54.5,Coffee
Red,2903.1,138.0,56.6,Coffee
Red,2996.6,139.0,55.5,Coffee
Red,2996.6,140.0,58.5,Coffee
Red,2996.6,141.0,59.5,Coffee
Red,3522.8,142.0,55.0,Coffee
Red,3522.8,143.0,53.0,Coffee
Red,3522.8,144.0,53.5,Coffee
Red,3729.8,145.0,52.5,Coffee
Red,3729.8,146.0,56.0,Coffee
Black,3729.8,147.0,57.0,Coffee
Black,2746.2,148.0,57.5,Coffee
Black,2746.2,149.0,57.0,Cardamum
Black,2746.2,150.0,55.0,Cardamum
Black,3360.0,151.0,56.0,Cardamum
Black,3360.0,152.0,54.0,Cardamum
Black,3360.0,153.0,58.0,Cardamum
Black,3605.4,154.0,58.0,Cardamum
Black,3605.4,155.0,59.0,Cardamum
Black,3605.4,156.0,50.0,Cardamum
Black,3512.4,157.0,54.0,Cardamum
Black,3512.4,158.0,53.0,Cardamum
Black,3512.4,159.0,52.0,Cardamum
Black,3296.0,160.0,51.0,Cardamum
Black,3296.0,161.0,57.0,Cardamum
Black,3296.0,162.0,57.0,Cardamum
Black,3550.0,163.0,60.0,Cardamum
Black,3550.0,164.0,57.0,Pepper
Black,3550.0,165.0,57.0,Pepper
Black,3654.0,166.0,54.0,Pepper
Black,3654.0,167.0,54.5,Pepper
Black,3654.0,168.0,56.6,Pepper
Black,233.0,169.0,55.5,Pepper
Black,233.0,170.0,58.5,Pepper
Black,233.0,171.0,59.5,Pepper
Alluvial,234.0,172.0,55.0,Pepper
Alluvial,234.0,173.0,53.0,Pepper
Alluvial,234.0,174.0,53.5,Pepper
Alluvial,3105.0,175.0,52.5,Pepper
Alluvial,3105.0,176.0,56.0,Pepper
Alluvial,3105.0,177.0,57.0,Pepper
Alluvial,236.0,178.0,57.5,Pepper
Alluvial,236.0,179.0,57.0,Arecanut
Alluvial,2903.1,180.0,55.0,Arecanut
Alluvial,2903.1,181.0,56.0,Arecanut
Alluvial,2903.1,182.0,54.0,Arecanut
Alluvial,2996.6,183.0,58.0,Arecanut
Alluvial,2996.6,184.0,58.0,Arecanut
Alluvial,2996.6,185.0,59.0,Arecanut
Alluvial,3522.8,186.0,50.0,Arecanut
Alluvial,3522.8,187.0,54.0,Arecanut
Alluvial,3522.8,188.0,53.0,Arecanut
Alluvial,2903.1,189.0,52.0,Arecanut
Alluvial,2903.1,190.0,51.0,Arecanut
Alluvial,2903.1,191.0,57.0,Arecanut
Alluvial,2996.6,192.0,57.0,Arecanut
Alluvial,2996.6,193.0,60.0,Arecanut
Alluvial,2996.6,194.0,57.0,Ginger
Alluvial,3522.8,195.0,57.0,Ginger
Alluvial,3522.8,196.0,54.0,Ginger
Sandy loam ,3522.8,197.0,54.5,Ginger
Sandy loam ,3729.8,198.0,56.6,Ginger
Sandy loam ,3729.8,199.0,55.5,Ginger
Sandy loam ,3729.8,200.0,58.5,Ginger
Sandy loam ,2746.2,201.0,59.5,Ginger
Sandy loam ,2746.2,202.0,55.0,Ginger
Sandy loam ,2746.2,203.0,53.0,Ginger
Sandy loam ,3360.0,204.0,53.5,Ginger
Sandy loam ,3360.0,205.0,52.5,Ginger
Sandy loam ,3360.0,206.0,56.0,Ginger
Sandy loam ,3605.4,207.0,57.0,Ginger
Sandy loam ,3605.4,208.0,57.5,Ginger
Sandy loam ,3605.4,209.0,57.0,Tea
Sandy loam ,3512.4,210.0,55.0,Tea
Sandy loam ,3512.4,211.0,56.0,Tea
Sandy loam ,3512.4,212.0,54.0,Tea
Sandy loam ,3296.0,213.0,58.0,Tea
Sandy loam ,3296.0,214.0,58.0,Tea
Sandy loam ,3296.0,215.0,59.0,Tea
Sandy loam ,3550.0,216.0,50.0,Tea
Sandy loam ,3550.0,217.0,54.0,Tea
Sandy loam ,3550.0,218.0,53.0,Tea
Sandy loam ,3654.0,219.0,52.0,Tea
Sandy loam ,3654.0,220.0,51.0,Tea
Sandy loam ,3654.0,221.0,57.0,Tea
Red laterite,233.0,222.0,57.0,Tea
Red laterite,233.0,27.0,60.0,Tea
Red laterite,233.0,27.0,57.0,Paddy
Red laterite,234.0,27.0,57.0,Paddy
Red laterite,234.0,27.0,54.0,Paddy
Red laterite,234.0,27.0,54.5,Paddy
Red laterite,3105.0,27.2,56.6,Paddy
Red laterite,3105.0,27.2,55.5,Paddy
Red laterite,3105.0,27.2,58.5,Paddy
Red laterite,236.0,27.0,59.5,Paddy
Red laterite,236.0,27.0,55.0,Paddy
Red laterite,2903.1,27.0,53.0,Paddy
Red laterite,2903.1,27.0,53.5,Paddy
Red laterite,2903.1,27.0,52.5,Paddy
Red laterite,2996.6,27.0,56.0,Paddy
Red laterite,2996.6,27.2,57.0,Paddy
Red laterite,2996.6,27.2,57.5,Paddy
Red laterite,3522.8,27.2,57.0,Groundnut
Red laterite,3522.8,27.1,55.0,Groundnut
Red laterite,3522.8,27.1,56.0,Groundnut
Red laterite,2903.1,27.1,54.0,Groundnut
Red laterite,2903.1,26.8,58.0,Groundnut
Red laterite,2903.1,26.8,58.0,Groundnut
Red laterite,2996.6,26.8,59.0,Groundnut
Red laterite,2996.6,37.0,50.0,Groundnut
Black cotton,2996.6,37.0,54.0,Groundnut
Black cotton,3522.8,37.0,53.0,Groundnut
Black cotton,3522.8,38.0,52.0,Groundnut
Black cotton,3522.8,38.0,51.0,Groundnut
Black cotton,3729.8,38.0,57.0,Groundnut
Black cotton,3729.8,39.0,57.0,Groundnut
Black cotton,3729.8,39.0,60.0,Groundnut
Black cotton,2746.2,39.0,57.0,Blackgram
Black cotton,2746.2,40.0,57.0,Blackgram
Black cotton,2746.2,40.0,54.0,Blackgram
Black cotton,3360.0,40.0,54.5,Blackgram
Black cotton,3360.0,41.0,56.6,Blackgram
Black cotton,3360.0,41.0,55.5,Blackgram
Black cotton,3605.4,41.0,58.5,Blackgram
Black cotton,3605.4,42.0,59.5,Blackgram
Black cotton,3605.4,42.0,55.0,Blackgram
Black cotton,3512.4,42.0,53.0,Blackgram
Black cotton,3512.4,43.0,53.5,Blackgram
Black cotton,3512.4,43.0,52.5,Blackgram
Black cotton,3296.0,27.0,56.0,Blackgram
Black cotton,3296.0,27.0,59.5,Blackgram
Black cotton,3296.0,27.0,55.0,Blackgram
Black cotton,3550.0,27.0,53.0,Cashew
Black cotton,3550.0,27.0,53.5,Cashew
Black cotton,3550.0,27.0,52.5,Cashew
Sandy,3654.0,27.2,56.0,Cashew
Sandy,3654.0,27.2,57.0,Cashew
Sandy,3654.0,27.2,57.5,Cashew
Sandy,233.0,27.0,57.0,Cashew
Sandy,233.0,27.0,55.0,Cashew
Sandy,233.0,27.0,56.0,Cashew
Sandy,234.0,27.0,54.0,Cashew
Sandy,234.0,27.0,58.0,Cashew
Sandy,234.0,27.0,58.0,Cashew
Sandy,3105.0,27.2,59.0,Cashew
Sandy,3105.0,27.2,50.0,Cashew
Sandy,3105.0,27.2,54.0,Cashew
Sandy,236.0,27.1,53.0,Coconut
Sandy,236.0,27.1,59.5,Coconut
Sandy,2903.1,27.1,55.0,Coconut
Sandy,2903.1,26.8,53.0,Coconut
Sandy,2903.1,26.8,53.5,Coconut
Sandy,2996.6,26.8,52.5,Coconut
Sandy,2996.6,37.0,56.0,Coconut
Sandy,2996.6,37.0,57.0,Coconut
Sandy,3522.8,37.0,57.5,Coconut
Sandy,3522.8,38.0,57.0,Coconut
Sandy,3522.8,38.0,55.0,Coconut
Sandy,2903.1,38.0,56.0,Coconut
Sandy,2903.1,39.0,54.0,Coconut
Laterite,2903.1,39.0,58.0,Coconut
Laterite,2996.6,39.0,58.0,Coconut
Laterite,2996.6,40.0,59.0,Coconut
Laterite,2996.6,40.0,50.0,Ginger
Laterite,3522.8,40.0,54.0,Ginger
Laterite,3522.8,41.0,53.0,Ginger
Laterite,3522.8,41.0,59.5,Ginger
Laterite,3729.8,41.0,55.0,Ginger
Laterite,3729.8,42.0,53.0,Ginger
Laterite,3729.8,42.0,53.5,Ginger
Laterite,2746.2,42.0,52.5,Ginger
Laterite,2746.2,43.0,56.0,Ginger
Laterite,2746.2,27.0,57.0,Ginger
Laterite,3360.0,27.0,57.5,Ginger
Laterite,3360.0,27.0,57.0,Ginger
Laterite,3360.0,27.0,55.0,Ginger
Laterite,3605.4,27.0,56.0,Ginger
Laterite,3605.4,27.0,54.0,Ginger
Laterite,2903.1,27.0,57.0,Coconut
Laterite,2903.1,27.0,57.5,Coconut
Laterite,2903.1,27.2,57.0,Coconut
Laterite,2996.6,27.2,55.0,Coconut
Laterite,2996.6,27.2,56.0,Coconut
Laterite,2996.6,27.0,54.0,Coconut
Laterite,3522.8,27.0,58.0,Coconut
Laterite,3522.8,27.0,58.0,Coconut
Laterite,3522.8,27.0,59.0,Coconut
Laterite,3729.8,27.0,50.0,Coconut
Laterite,3729.8,27.0,54.0,Coconut
Laterite,3729.8,27.2,53.0,Coconut
Laterite,2746.2,27.2,52.0,Coconut
Laterite,2746.2,27.2,51.0,Coconut
Laterite,2746.2,27.1,57.0,Coconut
Laterite,3360.0,27.1,57.0,Coconut
Laterite,3360.0,27.1,60.0,Coconut
Laterite,3360.0,26.8,57.0,Coconut
Laterite,3605.4,26.8,57.0,Coconut
Laterite,3605.4,27.1,54.0,Coconut
Laterite,3605.4,27.1,54.5,Coconut
Laterite,3512.4,26.8,56.6,Coconut
Laterite,3512.4,26.8,55.5,Coconut
Laterite,3512.4,26.8,58.5,Coconut
Laterite,3296.0,37.0,59.5,Coconut
Laterite,3550.0,37.0,55.0,Coconut
Laterite,3550.0,37.0,53.0,Coconut
Laterite,3550.0,38.0,53.5,Coconut
Laterite,3654.0,38.0,52.5,Coconut
Laterite,3654.0,38.0,56.0,Coconut
Laterite,3654.0,39.0,57.0,Coconut
Laterite,233.0,39.0,57.5,Coconut
Laterite,233.0,39.0,57.0,Coconut
Laterite,233.0,40.0,55.0,Coconut
Laterite,234.0,40.0,56.0,Coconut
Laterite,234.0,40.0,54.0,Coconut
Laterite,234.0,41.0,58.0,Coconut
Laterite,3105.0,41.0,58.0,Coconut
Laterite,3105.0,41.0,59.0,Coconut
Laterite,3105.0,42.0,50.0,Coconut
Laterite,236.0,42.0,54.0,Coconut
Laterite,236.0,42.0,53.0,Coconut
Laterite,2903.1,43.0,52.0,Coconut
Laterite,2903.1,27.0,51.0,Coconut
Laterite,2903.1,27.0,57.0,Coconut
Laterite,2996.6,27.0,57.0,Coconut
Laterite,2996.6,27.0,60.0,Coconut
Laterite,2996.6,27.0,57.0,Coconut
Laterite,3296.0,27.0,57.0,Coconut
Laterite,3550.0,27.2,54.0,Coconut
Laterite,3550.0,27.2,54.5,Coconut
Alluvial,3550.0,27.2,56.6,Coconut
Alluvial,3654.0,27.0,55.5,Coconut
Alluvial,3654.0,27.0,58.5,Coconut
Alluvial,3654.0,27.0,59.5,Coconut
Alluvial,233.0,27.0,55.0,Coconut
Alluvial,233.0,27.0,53.0,Coconut
Alluvial,233.0,27.0,53.5,Coconut
Alluvial,234.0,27.2,52.5,Coconut
Alluvial,234.0,27.2,56.0,Coconut
Alluvial,234.0,27.2,57.0,Coconut
Loam,3105.0,27.1,57.5,Coconut
Loam,3105.0,27.1,57.0,Coconut
Loam,3105.0,27.1,55.0,Coconut
Loam,236.0,26.8,56.0,Coconut
Loam,236.0,26.8,54.0,Coconut
Loam,2903.1,26.8,58.0,Coconut
Loam,2903.1,37.0,58.0,Coconut
Loam,2903.1,37.0,59.0,Coconut
Loam,2996.6,37.0,50.0,Coconut
Loam,2996.6,38.0,54.0,Coconut
Teelah,2996.6,38.0,53.0,Coconut
Teelah,2903.1,38.0,52.0,Coconut
Teelah,2903.1,39.0,51.0,Coconut
Teelah,2903.1,39.0,57.0,Coconut
Teelah,2996.6,39.0,57.0,Coconut
Teelah,2996.6,40.0,60.0,Coconut
Teelah,2996.6,40.0,57.0,Coconut
Teelah,3522.8,40.0,57.0,Coconut
Teelah,3522.8,41.0,54.0,Coconut
Teelah,3522.8,41.0,54.5,Coconut
Teelah,3729.8,41.0,56.6,Coconut
Clay,3729.8,42.0,55.5,Cotton
Clay,3729.8,42.0,58.5,Cotton
Clay,2746.2,42.0,59.5,Cotton
Clay,2746.2,43.0,55.0,Cotton
Clay,2746.2,43.0,53.0,Cotton
Clay,3360.0,27.0,53.5,Coconut
Clay,3360.0,27.0,52.5,Coconut
Clay,3360.0,27.0,56.0,Coconut
Clay,3605.4,27.0,57.0,Coconut
Clay,3605.4,27.0,57.5,Coconut
Clay,3605.4,27.0,57.0,Coconut
Clay,3512.4,27.2,55.0,Coconut
Clay,3512.4,27.2,56.0,Coconut
Clay,3512.4,27.2,54.0,Coconut
Clay,3296.0,27.0,58.0,Coconut
Clay,3296.0,27.0,58.0,Coconut
Clay,3296.0,27.0,59.0,Coconut
Clay,3550.0,27.0,50.0,Coconut
Clay,3550.0,27.0,54.0,Coconut
Clay,3550.0,27.0,53.0,Coconut
Clay,3654.0,27.2,52.0,Coconut
Clay,3654.0,27.2,51.0,Coconut
Clay,3654.0,27.2,57.0,Coconut
Clay,233.0,27.1,57.0,Coconut
Clay,233.0,27.1,60.0,Coconut
Clay,233.0,27.1,57.0,Coconut
Clay,234.0,26.8,57.0,Coconut
Clay,234.0,26.8,54.0,Coconut
Clay,234.0,26.8,54.5,Coconut
Clay,3105.0,37.0,56.6,Coconut
Clay,3105.0,37.0,55.5,Coconut
Clay,3105.0,37.0,58.5,Coconut
Clay,236.0,38.0,59.5,Coconut
Clay,236.0,38.0,55.0,Coconut
Clay loam,2903.1,38.0,53.0,Coconut
Clay loam,2903.1,39.0,53.5,Coconut
Clay loam,2903.1,39.0,52.5,Coconut
Clay loam,2996.6,39.0,56.0,Coconut
Clay loam,2996.6,41.0,57.0,Coconut
Clay loam,2996.6,42.0,57.5,Coconut
Clay loam,3522.8,42.0,57.0,Coconut
Clay loam,3522.8,42.0,55.0,Coconut
Clay loam,3522.8,43.0,56.0,Coconut
Clay loam,3729.8,43.0,54.0,Coconut
Clay loam,3729.8,128.0,58.0,Coconut
Clay loam,3729.8,129.0,58.0,Coconut
Clay loam,2746.2,130.0,59.0,Coconut
Clay loam,2746.2,131.0,50.0,Coconut
Clay loam,2746.2,132.0,54.0,Coconut
Clay loam,3360.0,133.0,53.0,Cocoa
Clay loam,3360.0,134.0,52.0,Cocoa
Clay loam,3360.0,135.0,51.0,Cocoa
Clay loam,3605.4,136.0,57.0,Cocoa
Arid and Desert,3605.4,137.0,57.0,Cocoa
Arid and Desert,3605.4,138.0,60.0,Cocoa
Arid and Desert,3512.4,139.0,57.0,Coffee
Arid and Desert,3512.4,140.0,57.0,Coffee
Arid and Desert,3512.4,141.0,54.0,Coffee
Arid and Desert,3296.0,142.0,54.5,Coffee
Arid and Desert,3296.0,143.0,56.6,Coffee
Arid and Desert,3296.0,144.0,55.5,Coffee
Arid and Desert,3550.0,145.0,58.5,Coffee
Arid and Desert,3550.0,146.0,59.5,Coffee
Arid and Desert,3550.0,147.0,55.0,Coffee
Loam,3654.0,148.0,53.0,Coffee
Loam,3654.0,149.0,53.5,Coffee
Loam,3654.0,150.0,52.5,Coffee
Loam,233.0,151.0,56.0,Coffee
Loam,233.0,152.0,57.0,Coffee
Loam,233.0,153.0,57.5,Coffee
Loam,2903.1,154.0,57.0,Cardamum
Loam,2903.1,155.0,55.0,Cardamum
Loam,2903.1,156.0,56.0,Cardamum
Loam,2996.6,157.0,54.0,Cardamum
Sandy loam ,2996.6,158.0,58.0,Cardamum
Sandy loam ,2996.6,159.0,58.0,Cardamum
Sandy loam ,3522.8,160.0,59.0,Cardamum
Sandy loam ,3522.8,161.0,50.0,Cardamum
Sandy loam ,3522.8,162.0,54.0,Cardamum
Sandy loam ,3729.8,163.0,53.0,Cardamum
Sandy loam ,3729.8,164.0,52.0,Cardamum
Sandy loam ,3729.8,165.0,51.0,Cardamum
Sandy loam ,2746.2,166.0,57.0,Cardamum
Sandy loam ,2746.2,167.0,57.0,Cardamum
Sandy loam ,2746.2,168.0,60.0,Cardamum
Sandy loam ,3360.0,169.0,57.0,Cotton
Sandy loam ,3360.0,170.0,57.0,Cotton
Sandy loam ,3360.0,171.0,54.0,Cotton
Sandy loam ,3605.4,172.0,54.5,Cotton
Sandy loam ,3605.4,173.0,56.6,Pepper
Sandy loam ,3605.4,174.0,55.5,Pepper
Sandy loam ,3512.4,175.0,58.5,Pepper
Sandy loam ,3512.4,176.0,59.5,Pepper
Sandy loam ,3512.4,177.0,55.0,Pepper
Sandy loam ,3296.0,178.0,53.0,Pepper
Sandy loam ,3296.0,179.0,53.5,Pepper
Sandy loam ,3296.0,180.0,52.5,Pepper
Sandy loam ,3550.0,181.0,56.0,Pepper
Sandy loam ,3550.0,182.0,57.0,Pepper
Sandy loam ,3550.0,183.0,57.5,Pepper
Arid and Desert,3654.0,184.0,57.0,Arecanut
Arid and Desert,3654.0,185.0,55.0,Arecanut
Arid and Desert,3654.0,186.0,56.0,Arecanut
Arid and Desert,233.0,187.0,54.0,Arecanut
Arid and Desert,233.0,188.0,58.0,Arecanut
Arid and Desert,233.0,189.0,58.0,Arecanut
Arid and Desert,234.0,190.0,59.0,Arecanut
Arid and Desert,234.0,191.0,50.0,Arecanut
Arid and Desert,234.0,192.0,54.0,Arecanut
Arid and Desert,3105.0,193.0,53.0,Arecanut
Arid and Desert,3105.0,194.0,52.0,Arecanut
Arid and Desert,3105.0,195.0,51.0,Arecanut
Arid and Desert,236.0,196.0,57.0,Arecanut
Arid and Desert,236.0,197.0,57.0,Arecanut
Arid and Desert,2903.1,198.0,60.0,Arecanut
Arid and Desert,2903.1,199.0,57.0,Ginger
Arid and Desert,2903.1,200.0,57.0,Ginger
Arid and Desert,2996.6,201.0,54.0,Ginger
Arid and Desert,2996.6,202.0,54.5,Ginger
Arid and Desert,2996.6,203.0,56.6,Ginger
Arid and Desert,3522.8,204.0,55.5,Ginger
Arid and Desert,3522.8,205.0,58.5,Ginger
Arid and Desert,3522.8,206.0,59.5,Ginger
Arid and Desert,3729.8,207.0,55.0,Ginger
Arid and Desert,3729.8,208.0,53.0,Ginger
Arid and Desert,3729.8,209.0,53.5,Ginger
Arid and Desert,2746.2,210.0,52.5,Ginger
Arid and Desert,2746.2,211.0,56.0,Ginger
Arid and Desert,2746.2,212.0,57.0,Ginger
Arid and Desert,3360.0,213.0,57.5,Ginger
loamy sand,3360.0,214.0,57.0,Tea
loamy sand,3360.0,215.0,55.0,Tea
loamy sand,3605.4,216.0,56.0,Tea
loamy sand,3605.4,217.0,54.0,Tea
loamy sand,3605.4,218.0,58.0,Tea
loamy sand,3512.4,219.0,58.0,Tea
loamy sand,3512.4,220.0,59.0,Tea
loamy sand,3512.4,221.0,50.0,Tea
loamy sand,3296.0,222.0,54.0,Tea
loamy sand,3296.0,27.0,53.0,Tea
loamy sand,3296.0,27.0,52.0,Tea
loamy sand,3550.0,27.0,51.0,Tea
loamy sand,3550.0,27.0,57.0,Tea
loamy sand,3550.0,27.0,57.0,Tea
loamy sand,3654.0,27.2,60.0,Tea
loamy sand,3654.0,27.2,57.0,Paddy
loamy sand,3654.0,27.2,57.0,Paddy
loamy sand,233.0,27.0,54.0,Paddy
loamy sand,233.0,27.0,54.5,Paddy
loamy sand,233.0,27.0,56.6,Paddy
loamy sand,2903.1,27.0,55.5,Paddy
loamy sand,2903.1,27.0,58.5,Paddy
loamy sand,2903.1,27.0,59.5,Paddy
loamy sand,2996.6,27.2,55.0,Paddy
loamy sand,2996.6,27.2,53.0,Paddy
loamy sand,2996.6,27.2,53.5,Paddy
loamy sand,3522.8,27.1,52.5,Paddy
loamy sand,3522.8,27.1,56.0,Paddy
loamy sand,3522.8,27.1,57.0,Paddy
Clay loam,3729.8,26.8,57.5,Paddy
Clay loam,3729.8,26.8,57.0,Groundnut
Clay loam,3729.8,26.8,55.0,Groundnut
Clay loam,2746.2,37.0,56.0,Groundnut
Clay loam,2746.2,37.0,54.0,Cotton
Clay loam,2746.2,37.0,58.0,Cotton
Clay loam,3360.0,38.0,58.0,Cotton
Clay loam,3360.0,38.0,59.0,Cotton
Clay loam,3360.0,38.0,50.0,Groundnut
Clay loam,3605.4,39.0,54.0,Groundnut
Clay loam,3605.4,39.0,53.0,Groundnut
Clay loam,3605.4,39.0,52.0,Groundnut
Clay loam,3512.4,40.0,51.0,Groundnut
Clay loam,3512.4,40.0,57.0,Groundnut
Clay loam,3512.4,40.0,57.0,Groundnut
Clay loam,3296.0,41.0,60.0,Groundnut
Clay loam,3296.0,41.0,57.0,Blackgram
Clay loam,3296.0,41.0,57.0,Blackgram
Clay loam,3550.0,42.0,54.0,Blackgram
Clay loam,3550.0,42.0,54.5,Blackgram
Clay loam,3550.0,42.0,56.6,Blackgram
Clay loam,3654.0,43.0,55.5,Blackgram
Clay loam,3654.0,43.0,58.5,Blackgram
Clay loam,3654.0,27.0,59.5,Blackgram
Clay loam,233.0,27.0,55.0,Blackgram
Clay loam,233.0,27.0,53.0,Blackgram
Clay loam,233.0,27.0,53.5,Blackgram
Clay loam,234.0,27.0,52.5,Blackgram
Clay loam,234.0,27.0,56.0,Blackgram
Clay loam,234.0,27.2,59.5,Blackgram
Clay loam,3105.0,27.2,55.0,Blackgram
Clay loam,3105.0,27.2,53.0,Cashew
Clay loam,3105.0,27.0,53.5,Cashew
Clay loam,236.0,27.0,52.5,Cashew
Clay loam,236.0,27.0,56.0,Cashew
Clay loam,2903.1,27.0,57.0,Cashew
Clay loam,2903.1,27.0,57.5,Cashew
Clay loam,2903.1,27.0,57.0,Cashew
Clay loam,2996.6,27.2,55.0,Cotton
